GENE,Frequency
MUC3A,471
ANKRD36C,69
ZNF717,26
GPRIN2,16
BAGE5,14
ANKRD36,12
MAP2K3,12
MUC16,9
FRG1DP,6
IGLJ3,6
TPTE,6
CU104787.1,6
MUC17,6
IGHV1OR21-1,5
RP11-341D18.2,5
MUC12,4
MYO3A,4
OR51B6,4
CTD-3088G3.8,4
IL1RL1,4
GAA,4
ACAN,4
CCDC168,3
SPTBN5,3
PRSS51,3
PKD1L3,3
NPIPB15,3
IGLV5-48,3
KCNJ12,3
ADGRF2,3
FRAS1,3
GDPGP1,3
OR11L1,3
TNC,3
TTN,3
OR11G2,3
SPANXB1,2
PNLIPRP3,2
ADGRA1,2
NOM1,2
OR51Q1,2
C17orf80,2
PPP2R3A,2
FLG,2
ARHGEF5,2
ADAM22,2
KMT2C,2
DNAH17,2
PSAPL1,2
DNHD1,2
COBL,2
LAMA1,2
MALRD1,2
ZNF804A,2
ALPK2,2
OR2M7,2
VWDE,2
RREB1,2
ATP13A5,2
PGM5P2,2
MS4A14,2
ALKBH3,2
NEB,2
TRAV8-6,2
OBSCN,2
HEATR1,2
EXO1,2
SEMA6C,2
SYNE2,2
C2orf16,2
FAM179A,2
VWA3B,2
PATJ,2
TMEM176B,2
CD164L2,2
TRIM51,2
OR8S1,2
AKAP13,2
FHAD1,2
PDILT,2
NUP210,2
GEN1,2
CNTNAP4,2
OR4K1,2
PABPC3,2
C11orf16,2
OR8H2,2
APOL4,2
NRAP,2
OR4N2,2
TACC2,2
MROH2B,2
CLEC1B,2
SAXO1,2
ZNF469,2
PZP,2
CROCC,2
KIZ,2
CDH17,2
HRNR,2
RP11-277P12.6,2
SLC18A1,2
PSD3,2
ZNF701,2
SLC7A13,2
THSD7A,2
USP17L18,2
USP17L17,2
ZNF773,2
MUT,2
PSG7,2
KIAA1161,2
PPFIBP1,2
ZNF568,2
WASH1,2
ZNF30,2
USPL1,1
PUS3,1
CDON,1
ADAMTS8,1
RP3-454B23.1,1
AL354828.1,1
OR8D1,1
DPPA3,1
A2ML1,1
STYK1,1
REP15,1
DACT2,1
PATE1,1
RP11-512M8.11,1
OR2F2,1
SLC37A3,1
CRTAM,1
CCDC153,1
MCPH1,1
FRMD1,1
COG3,1
BCO2,1
FAT3,1
LRCH1,1
SYNJ2,1
NOX4,1
CDADC1,1
ESYT2,1
MANSC4,1
ZNF316,1
AVIL,1
NME8,1
MMAB,1
HCAR3,1
ZMIZ2,1
DNAH10,1
FAM188B,1
CHPT1,1
CFAP54,1
SYT1,1
MDM1,1
EDA2R,1
HELB,1
AGFG2,1
NOS1,1
ZAN,1
NARS2,1
SLC26A10,1
KRT81,1
PPP1R3A,1
KRT7,1
FAM186A,1
TMEM213,1
SCIN,1
BICD1,1
ANHX,1
KIAA1551,1
SYTL2,1
OR5B3,1
USP35,1
ZNF705G,1
PLCE1,1
LINC01520,1
SH2D4B,1
PUM3,1
HK1,1
SRGN,1
PHYHIPL,1
BICC1,1
BMS1,1
ZNF33A,1
NRP1,1
UBAP2,1
FAM171A1,1
ITIH5,1
KIF24,1
ANKRD16,1
PITRM1,1
SOHLH1,1
POMT1,1
NTMT1,1
OR1L8,1
FAM205C,1
DEC1,1
TNFSF15,1
CD72,1
AL358113.1,1
TRPM3,1
RP11-402G3.3,1
RP5-1050E16.2,1
MAF1,1
MYO16,1
LRRC6,1
ZNF214,1
VPS37C,1
MS4A13,1
PRUNE2,1
OR5F1,1
OR5W2,1
OR4C5,1
RP1L1,1
OR4X1,1
PEX16,1
QSER1,1
USH1C,1
USP17L7,1
NLRP14,1
OR2D3,1
HHLA1,1
OR2AG2,1
RAB11FIP1,1
MIR2052HG,1
OR52W1,1
OR52J3,1
MATN2,1
INS,1
SNX31,1
KLHL38,1
INPP5A,1
MKI67,1
CPXM2,1
PSTK,1
TBC1D4,1
SQRDL,1
ATP11A,1
ZNF57,1
DCC,1
SERPINB5,1
SERPINB13,1
SERPINB11,1
CD226,1
C18orf63,1
TMPRSS9,1
ACTL9,1
NACA2,1
BPIFC,1
COL5A3,1
OR10H3,1
NWD1,1
CPAMD8,1
CTD-2521M24.13,1
LRRC25,1
CCDC178,1
TMEM241,1
CENPM,1
ANKRD62,1
PECAM1,1
PNPLA3,1
AXIN2,1
CD300LD,1
FDXR,1
ACOX1,1
SEC14L1,1
USP36,1
RNF213,1
RPTOR,1
CCDC57,1
WBP2NL,1
HEXDC,1
COLEC12,1
PIEZO2,1
SLC7A9,1
WDR87,1
FBXO27,1
SIRPD,1
BMP2,1
SUN5,1
SRRD,1
BPIFB4,1
UQCC1,1
IGLV10-54,1
ACTR5,1
KRTAP22-1,1
SH3BGR,1
ITGB2,1
IGLV4-60,1
ARVCF,1
COL18A1,1
FTCD,1
PCNT,1
SIRPB1,1
A1BG,1
LGALS14,1
ZNF419,1
FCGBP,1
LTBP4,1
PSG8,1
PSG11,1
ZNF404,1
ZNF233,1
ZNF229,1
CEACAM20,1
BSPH1,1
PIH1D1,1
C19orf81,1
KLK10,1
CD33,1
SBK2,1
ZIM3,1
SCN4A,1
MTMR4,1
ADPRHL1,1
AP4E1,1
AHNAK2,1
NBEAP1,1
GOLGA6L2,1
KNL1,1
WDR76,1
PATL2,1
ATP8B4,1
DIS3L,1
EME1,1
IQCH,1
CD276,1
RCN2,1
GOLGA6L9,1
NTRK3-AS1,1
MYB,1
PGPEP1L,1
RP11-736N17.11,1
HSP90AA1,1
EML1,1
NRDE2,1
OR4L1,1
TTC5,1
OR6S1,1
TRAJ24,1
CHMP4A,1
RABGGTA,1
RP11-104E19.1,1
AKAP6,1
PNN,1
CTAGE5,1
FSCB,1
ABHD12B,1
SYNDIG1L,1
PTPN21,1
KCNK13,1
BAIAP3,1
OR2C1,1
ZSCAN32,1
NUDT7,1
MTHFSD,1
SLC52A1,1
PITPNM3,1
ASGR2,1
PFAS,1
MPRIP,1
MYO15A,1
LLGL1,1
AC090286.4,1
SLFN5,1
GSDMA,1
KRT24,1
KRT13,1
BRCA1,1
FAM187A,1
PKD1L2,1
ADAMTS18,1
SMIM22,1
ADAT1,1
PPL,1
ABAT,1
U51561.1,1
RP11-166B2.1,1
SHISA9,1
TMEM159,1
EARS2,1
PRKCB,1
ASPHD1,1
CDH11,1
SMPD3,1
PDPR,1
COG4,1
HYDIN,1
RFWD3,1
CCDC170,1
DNAH5,1
CEP85L,1
CSNK1A1L,1
OR4A16,1
CCDC86,1
INCENP,1
TSKU,1
TRIM64B,1
ANKK1,1
PARP4,1
ANKRD26P2,1
OR52E4,1
CKAP2,1
CLN5,1
SLAIN1,1
KDELC1,1
HOMEZ,1
BAGE2,1
DLEC1,1
OR4C12,1
TRIM5,1
TMED5,1
CREBZF,1
VIPR2,1
NSMAF,1
PNMA6A,1
TCTE1,1
MET,1
SEC31B,1
ALKBH1,1
COG6,1
C11orf40,1
F12,1
HDGFL1,1
MTCH1,1
PODXL,1
DKK2,1
SYT11,1
FAM25A,1
MINA,1
SYNE1,1
CCDC129,1
FGGY,1
MYOM3,1
IL22RA1,1
SPOCD1,1
MAST2,1
CYP4A22,1
LEXM,1
C8B,1
L1TD1,1
SFRP4,1
KANK4,1
CACHD1,1
IL23R,1
LINC01360,1
LRRIQ3,1
DNASE2B,1
COL24A1,1
CELA3A,1
NBPF3,1
PLA2G2D,1
CLCNKB,1
UPK3BL,1
TAS2R38,1
OR6B1,1
WDR86,1
KIAA1456,1
C8orf48,1
GNRH1,1
CA1,1
SLC45A4,1
ZNF7,1
MEGF6,1
RNF207,1
DNAJC11,1
MASP2,1
C1orf167,1
WNT16,1
NRCAM,1
STEAP4,1
EXPH5,1
KLHL26,1
BIRC7,1
NBPF1,1
GUCA2B,1
NBPF10,1
FCRL1,1
ITGA8,1
GLDN,1
DMBT1,1
USP17L11,1
RMDN1,1
FAM91A1,1
RP11-240B13.2,1
KDM4A,1
CYP2J2,1
GBP1,1
CLEC18B,1
CGNL1,1
CSRP2,1
CRACR2B,1
GOLGA6L6,1
CPS1,1
BATF3,1
FAM110C,1
PSME4,1
SLC4A3,1
GLYCTK,1
UCHL1,1
SMAD5,1
KLHL31,1
RAB23,1
LRGUK,1
TSPYL5,1
CYP11B1,1
RP11-262H14.3,1
NBPF12,1
OR4A5,1
ETV1,1
ZNF365,1
SPON2,1
GABRG1,1
RP11-696N14.1,1
POM121L2,1
NPVF,1
SLC13A1,1
TTI2,1
OR5M11,1
SLC6A12,1
SNX19,1
OTOGL,1
OR4K15,1
IGKV1D-17,1
GC,1
KIAA1109,1
COL9A1,1
LGALS9C,1
RAI1,1
TMEM132C,1
DENND5B,1
WNK1,1
TSPAN9,1
DYRK4,1
NTF3,1
FAM90A1,1
A2MP1,1
CLEC12A,1
KLRC4,1
YBX3,1
DDX47,1
PDE3A,1
GYS2,1
RP11-310I24.1,1
TMTC1,1
DDX11,1
LRRC8C,1
AKNAD1,1
CCDC162P,1
RASGEF1B,1
CHRNA9,1
SPATA18,1
TMEM165,1
CABS1,1
ADAMTS3,1
SOWAHB,1
BMP3,1
THAP9,1
TBC1D1,1
DMP1,1
HERC5,1
ADH4,1
MANBA,1
CCNA2,1
NUDT6,1
TTC29,1
KLHL5,1
ZNF518B,1
KIAA1324,1
MCF2L2,1
FBXO40,1
TF,1
DZIP1L,1
TRIM42,1
AADAC,1
MECOM,1
NAALADL2,1
HTR3D,1
CPZ,1
HTR3E,1
AP2M1,1
HRG,1
LSG1,1
ZNF141,1
ZFYVE28,1
TBC1D14,1
NEIL3,1
EXOC3,1
ZDHHC11B,1
RPL7L1,1
F13A1,1
SYCP2L,1
SLC17A1,1
SLC26A8,1
DNAH8,1
ADCY10P1,1
RP1-139D8.6,1
ADGRF5,1
ZDHHC11,1
ADGRF4,1
PKHD1,1
DST,1
LCA5,1
COQ3,1
ASCC3,1
ARMC2,1
HUS1B,1
BTNL8,1
ATP10B,1
THG1L,1
RP11-492D6.3,1
C5orf22,1
DAB2,1
C7,1
AGGF1,1
ZFYVE16,1
ADGRV1,1
PJA2,1
EPB41L4A,1
FBN2,1
SLC22A4,1
LECT2,1
PCDHAC1,1
PCDHB3,1
SLC6A7,1
MAATS1,1
ZNF80,1
ZDHHC23,1
OR2T27,1
PPFIA4,1
CR2,1
NSL1,1
USH2A,1
TLR5,1
TMEM63A,1
OR2G2,1
OR14I1,1
IL1F10,1
LYPD8,1
ADI1,1
DRC1,1
