"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","olfactory receptor activity","GO:0004984","true","7.401102260756883e-8","7.130703595118312","397","590","38","20246","OR51B6,OR11L1,OR11G2,OR51Q1,OR2M7,OR8S1,OR4K1,OR8H2,OR4N2,OR8D1,OR2F2,OR5B3,OR1L8,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,OR10H3,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,OR6B1,OR4A5,OR5M11,OR4K15,OR2T27,OR2G2,OR14I1,OR6N1,OR10J1,OR5AC2"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","false","0.00014715391224144871","3.8322281872355415","1307","590","71","20246","OR51B6,IL1RL1,PKD1L3,OR11L1,OR11G2,ADGRA1,OR51Q1,OR2M7,OR8S1,OR4K1,OR8H2,OR4N2,CLEC1B,OR8D1,PATE1,OR2F2,HCAR3,EDA2R,OR5B3,NRP1,OR1L8,CD72,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,DCC,OR10H3,PECAM1,ITGB2,LTBP4,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,VIPR2,MET,IL22RA1,IL23R,TAS2R38,OR6B1,OR4A5,GABRG1,OR5M11,OR4K15,CLEC12A,KLRC4,CHRNA9,HTR3D,HTR3E,ADGRF5,ADGRF4,ADGRV1,OR2T27,CR2,TLR5,TMEM63A,OR2G2,OR14I1,LGR6,OR6N1,OR10J1,EPHA6,OR5AC2,GPR35"
"GO:MF","molecular transducer activity","GO:0060089","false","0.0018299595193979564","2.7375585172075705","2053","590","95","20246","OR51B6,IL1RL1,PKD1L3,OR11L1,OR11G2,ADGRA1,OR51Q1,OR2M7,SEMA6C,OR8S1,OR4K1,OR8H2,OR4N2,CLEC1B,OR8D1,PATE1,OR2F2,HCAR3,EDA2R,OR5B3,NRP1,OR1L8,TNFSF15,CD72,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,INS,DCC,OR10H3,PECAM1,COLEC12,BMP2,ITGB2,LTBP4,CD33,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,TRIM5,VIPR2,MET,ALKBH1,DKK2,IL22RA1,IL23R,TAS2R38,OR6B1,GNRH1,WNT16,FCRL1,DMBT1,OR4A5,GABRG1,NPVF,OR5M11,OR4K15,NTF3,CLEC12A,KLRC4,PDE3A,CHRNA9,BMP3,HTR3D,HTR3E,ADGRF5,ADGRF4,PKHD1,ADGRV1,FBN2,OR2T27,CR2,TLR5,TMEM63A,OR2G2,OR14I1,IL1F10,LGR6,TSHB,NGF,PGLYRP4,OR6N1,OR10J1,EPHA6,OR5AC2,BTLA,GPR35"
"GO:MF","signaling receptor activity","GO:0038023","false","0.0018299595193979564","2.7375585172075705","2053","590","95","20246","OR51B6,IL1RL1,PKD1L3,OR11L1,OR11G2,ADGRA1,OR51Q1,OR2M7,SEMA6C,OR8S1,OR4K1,OR8H2,OR4N2,CLEC1B,OR8D1,PATE1,OR2F2,HCAR3,EDA2R,OR5B3,NRP1,OR1L8,TNFSF15,CD72,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,INS,DCC,OR10H3,PECAM1,COLEC12,BMP2,ITGB2,LTBP4,CD33,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,TRIM5,VIPR2,MET,ALKBH1,DKK2,IL22RA1,IL23R,TAS2R38,OR6B1,GNRH1,WNT16,FCRL1,DMBT1,OR4A5,GABRG1,NPVF,OR5M11,OR4K15,NTF3,CLEC12A,KLRC4,PDE3A,CHRNA9,BMP3,HTR3D,HTR3E,ADGRF5,ADGRF4,PKHD1,ADGRV1,FBN2,OR2T27,CR2,TLR5,TMEM63A,OR2G2,OR14I1,IL1F10,LGR6,TSHB,NGF,PGLYRP4,OR6N1,OR10J1,EPHA6,OR5AC2,BTLA,GPR35"
"GO:MF","G protein-coupled receptor activity","GO:0004930","false","0.007880158426617725","2.103465051150771","839","590","47","20246","OR51B6,OR11L1,OR11G2,ADGRA1,OR51Q1,OR2M7,OR8S1,OR4K1,OR8H2,OR4N2,OR8D1,OR2F2,HCAR3,OR5B3,OR1L8,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,OR10H3,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,VIPR2,TAS2R38,OR6B1,OR4A5,OR5M11,OR4K15,ADGRF5,ADGRF4,ADGRV1,OR2T27,OR2G2,OR14I1,LGR6,OR6N1,OR10J1,OR5AC2,GPR35"
"GO:MF","extracellular matrix structural constituent","GO:0005201","true","0.016469607861655664","1.783316741179154","167","590","16","20246","MUC3A,MUC17,ACAN,FRAS1,TNC,LAMA1,MATN2,COL5A3,COL18A1,LTBP4,COL24A1,COL9A1,FBN2,LAMC1,COL4A4,COL4A3"
"GO:MF","dynein intermediate chain binding","GO:0045505","true","0.04316669275446976","1.3648512238363184","37","590","7","20246","SPTBN5,DNAH17,DNHD1,DNAH10,BICD1,DNAH5,DNAH8"
"GO:MF","minus-end-directed microtubule motor activity","GO:0008569","true","0.04978178232387745","1.3029295585195477","17","590","5","20246","DNAH17,DNHD1,DNAH10,DNAH5,DNAH8"
"GO:BP","detection of chemical stimulus involved in sensory perception of smell","GO:0050911","true","4.774189226874821e-8","7.321100371554878","398","570","38","21026","OR51B6,OR11L1,OR11G2,OR51Q1,OR2M7,OR8S1,OR4K1,OR8H2,OR4N2,OR8D1,OR2F2,OR5B3,OR1L8,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,OR10H3,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,OR6B1,OR4A5,OR5M11,OR4K15,OR2T27,OR2G2,OR14I1,OR6N1,OR10J1,OR5AC2"
"GO:BP","detection of chemical stimulus involved in sensory perception","GO:0050907","false","8.406832511421016e-8","7.075367604907117","444","570","40","21026","OR51B6,PKD1L3,OR11L1,OR11G2,OR51Q1,OR2M7,OR8S1,OR4K1,OR8H2,OR4N2,OR8D1,OR2F2,OR5B3,OR1L8,OR5F1,OR5W2,OR4C5,OR4X1,OR2D3,OR2AG2,OR52W1,OR52J3,OR10H3,OR4L1,OR6S1,OR2C1,OR4A16,OR52E4,OR4C12,TAS2R38,OR6B1,OR4A5,OR5M11,OR4K15,OR2T27,OR2G2,OR14I1,OR6N1,OR10J1,OR5AC2"
